name,number,nation,appearances,goals,assists,shots,big_chances_created,clean_sheets,saves,goals_conceded,player_image,nation_flag,team,position
David Raya,22,Spain,29,0,0,0,0,11,71,24,https://resources.premierleague.com/premierleague/photos/players/110x140/p154561.png,https://resources.premierleague.com/premierleague/flags/ES.png,Arsenal,Goalkeeper
Tommy Setford,36,England,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Arsenal,Goalkeeper
Neto,32,Brazil,2,0,0,0,0,0,11,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p69752.png,https://resources.premierleague.com/premierleague/flags/BR.png,Arsenal,Goalkeeper
Alexei Rojas,62,Colombia,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,https://resources.premierleague.com/premierleague/flags/CO.png,Arsenal,Goalkeeper
Jack Porter,92,England,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Arsenal,Goalkeeper
William Saliba,2,France,27,2,0,0,0,11,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p462424.png,https://resources.premierleague.com/premierleague/flags/FR.png,Arsenal,Defender
Kieran Tierney,3,Scotland,6,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p192895.png,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,Arsenal,Defender
Ben White,4,England,11,0,1,0,0,3,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p198869.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Arsenal,Defender
Gabriel Magalhães,6,Brazil,27,3,1,0,0,10,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p226597.png,https://resources.premierleague.com/premierleague/flags/BR.png,Arsenal,Defender
Jurriën Timber,12,Netherlands,26,1,2,0,0,7,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p445122.png,https://resources.premierleague.com/premierleague/flags/NL.png,Arsenal,Defender
Jakub Kiwior,15,Poland,8,0,0,0,0,1,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p440854.png,https://resources.premierleague.com/premierleague/flags/PL.png,Arsenal,Defender
Takehiro Tomiyasu,18,Japan,1,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p223723.png,https://resources.premierleague.com/premierleague/flags/JP.png,Arsenal,Defender
Oleksandr Zinchenko,17,Ukraine,10,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p206325.png,https://resources.premierleague.com/premierleague/flags/UA.png,Arsenal,Defender
Riccardo Calafiori,33,Italy,17,2,1,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p466075.png,https://resources.premierleague.com/premierleague/flags/IT.png,Arsenal,Defender
Josh Nichols,51,England,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Arsenal,Defender
Thomas Partey,5,Ghana,28,3,2,0,3,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p167199.png,https://resources.premierleague.com/premierleague/flags/GH.png,Arsenal,Midfielder
Martin Ødegaard,8,Norway,21,2,4,0,9,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p184029.png,https://resources.premierleague.com/premierleague/flags/NO.png,Arsenal,Midfielder
Jorginho,20,Italy,12,0,0,0,1,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p85955.png,https://resources.premierleague.com/premierleague/flags/IT.png,Arsenal,Midfielder
Declan Rice,41,England,27,2,5,0,15,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p204480.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Arsenal,Midfielder
Myles Lewis-Skelly,49,England,14,1,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p499169.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Arsenal,Midfielder
Ethan Nwaneri,53,England,19,3,1,0,1,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p499175.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Arsenal,Midfielder
Mikel Merino,23,Spain,21,5,1,0,2,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p195384.png,https://resources.premierleague.com/premierleague/flags/ES.png,Arsenal,Midfielder
